"Empresa:","ITASUL TRANSPORTE E LOGISTICA LTDA","","","","","","","","","","","Folha:","","0001"
"C.N.P.J.:","42.497.558/0001-74","","","","","","","","","","","Número livro:","","0004"
"Período:","01/01/2025 - 31/12/2025","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"BALANCETE","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Código","Classificação","","Descrição da conta","","","","Saldo Anterior","","Débito","","Crédito","","Saldo Atual",""
"022586","2.1.01.01.0001","","            SUDESTE COMERCIO DE COMBUSTIVEIS LTDA","","","","725,546.98c","","1,199,411.81","","809,151.43","","335,286.60c",""
"9152758","2.1.01.01.0001","","            UPGRADE CONTABILIDADE LTDA","","","","0.00","","19,012.00","","19,012.00","","0.00",""
"9152767","2.1.01.01.0001","","            UPGRADE SERVICOS SOCIET RIOS LTDA","","","","0.00","","898.30","","898.30","","0.00",""
"9152702","2.1.01.01.0001","","            VD COMERCIO DE VEICULOS LTDA","","","","0.00","","0.00","","2,721.58","","2,721.58c",""
"9152782","2.1.01.01.0001","","            VD PNEUS LTDA","","","","0.00","","4,000.00","","6,000.00","","2,000.00c",""
"9152799","2.1.01.01.0001","","            VMS OLIVEIRA LTDA","","","","0.00","","2,828.40","","2,828.40","","0.00",""
"9152774","2.1.01.01.0001","","            WERNE PRESENTES LTDA ME","","","","0.00","","0.00","","462.40","","462.40c",""
"020007","2.1.02","","      EMPRESTIMOS/FINANCIAMENTOS","","","","630,500.78c","","543,140.09","","518,168.01","","605,528.70c",""
"020017","2.1.02.01","","         EMPRESTIMOS BANCARIOS","","","","630,500.78c","","543,140.09","","518,168.01","","605,528.70c",""
"022658","2.1.02.01.0001","","            EMPRESTIMO MUTUO - BRSUL","","","","0.00","","0.00","","16,398.02","","16,398.02c",""
"9152584","2.1.02.01.0005","","            EMPRESTIMO MUTUO - TRANSUL","","","","0.00","","30,526.75","","225,871.22","","195,344.47c",""
"021453","2.1.02.01.0010","","            FINANCIAMENTO - BANCO MERCEDES-BENZ","","","","415,595.96c","","131,599.28","","0.00","","283,996.68c",""
"021452","2.1.02.01.0012","","            FINANCIAMENTO DE VEÍCULO","","","","214,904.82c","","381,014.06","","275,898.77","","109,789.53c",""
"020038","2.1.03","","      OBRIGACOES TRABALHISTAS / SOCIAIS","","","","0.00","","23,718.38","","38,187.31","","14,468.93c",""
"020039","2.1.03.01","","         OBRIGACOES TRABALHISTAS","","","","0.00","","16,674.44","","27,517.50","","10,843.06c",""
"020040","2.1.03.01.0001","","            13° SALARIO A PAGAR","","","","0.00","","372.81","","372.81","","0.00",""
"025668","2.1.03.01.0001","","            PLANO DE SAÚDE A PAGAR","","","","0.00","","0.00","","484.60","","484.60c",""
"020044","2.1.03.01.0004","","            RESCISOES A PAGAR","","","","0.00","","165.14","","7,308.10","","7,142.96c",""
"020045","2.1.03.01.0005","","            SALARIOS A PAGAR","","","","0.00","","16,136.49","","19,351.99","","3,215.50c",""
"020046","2.1.03.02","","         OBRIGACOES SOCIAIS","","","","0.00","","7,043.94","","10,669.81","","3,625.87c",""
"002140","2.1.03.02.0001","","            CONTRIB. SINDICAL A RECOLHER","","","","0.00","","0.00","","275.36","","275.36c",""
"020049","2.1.03.02.0002","","            FGTS A RECOLHER","","","","0.00","","754.56","","1,577.93","","823.37c",""
"020050","2.1.03.02.0003","","            FGTS RESCISORIO A RECOLHER","","","","0.00","","0.00","","1,056.68","","1,056.68c",""
"020051","2.1.03.02.0004","","            INSS A RECOLHER","","","","0.00","","6,289.38","","7,759.84","","1,470.46c",""
"020056","2.1.04","","      OBRIGACOES FISCAIS","","","","31,581.15c","","655,632.08","","654,733.11","","30,682.18c",""
"020057","2.1.04.01","","         FEDERAIS","","","","31,581.15c","","53,283.34","","52,384.37","","30,682.18c",""
"020060","2.1.04.01.0001","","            COFINS A RECOLHER","","","","20,709.72c","","20,709.72","","0.00","","0.00",""
"027353","2.1.04.01.0002","","            CSLL A PAGAR","","","","0.00","","8,138.32","","19,644.14","","11,505.82c",""
"023468","2.1.04.01.0006","","            IRPJ A PAGAR","","","","0.00","","13,563.87","","32,740.23","","19,176.36c",""
"020070","2.1.04.01.0012","","            PIS A RECOLHER","","","","10,871.43c","","10,871.43","","0.00","","0.00",""
"020075","2.1.04.02","","         ESTADUAIS","","","","0.00","","602,348.74","","602,348.74","","0.00",""
"020076","2.1.04.02.0001","","            ICMS A RECOLHER","","","","0.00","","602,348.74","","602,348.74","","0.00",""
"020036","2.1.05","","      ADIANTAMENTOS CLIENTES","","","","0.00","","280,992.97","","374,757.79","","93,764.82c",""
"022901","2.1.05.01","","         ADIANTAMENTOS CLIENTES","","","","0.00","","280,992.97","","374,757.79","","93,764.82c",""
"027381","2.1.05.01.0001","","            ADIANTAMENTOS CLIENTES","","","","0.00","","280,992.97","","374,757.79","","93,764.82c",""
"020134","2.3","","   PATRIMONIO LIQUIDO","","","","1,178,783.27d","","794,913.31","","840,002.49","","1,133,694.09d",""
"020135","2.3.01","","      CAPITAL SOCIAL/PATRIMONIO SOCIAL","","","","120,000.00c","","0.00","","0.00","","120,000.00c",""
"020136","2.3.01.01","","         CAPITAL SOCIAL/PATRIMONIO SOCIAL","","","","120,000.00c","","0.00","","0.00","","120,000.00c",""
"027367","2.3.01.01.0002","","            CAPITAL SOCIAL","","","","120,000.00c","","0.00","","0.00","","120,000.00c",""
"020154","2.3.02","","      LUCRO/PREJUIZO ACUMULADO","","","","1,298,783.27d","","794,913.31","","840,002.49","","1,253,694.09d",""
"020155","2.3.02.01","","         LUCRO/PREJUIZO ACUMULADO","","","","1,298,783.27d","","794,913.31","","840,002.49","","1,253,694.09d",""
"025799","2.3.02.01.0001","","            AJUSTES NO EXERCICIO ANTERIOR","","","","0.00","","360,896.00","","187,081.05","","173,814.95d",""
"076376","2.3.02.01.0002","","            LUCRO DO EXERCICIO","","","","0.00","","259,427.35","","259,427.35","","0.00",""
"027374","2.3.02.01.0007","","            LUCROS ACUMULADOS","","","","0.00","","93,543.52","","259,427.35","","165,883.83c",""
"076383","2.3.02.01.0009","","            PREJUIZO DO EXERCICIO","","","","0.00","","40,523.22","","40,523.22","","0.00",""
"023202","2.3.02.01.0010","","            PREJUIZOS ACUMULADOS","","","","1,298,783.27d","","40,523.22","","93,543.52","","1,245,762.97d",""
"000004","4","","CONTAS DE ENTRADAS E CUSTOS","","","","0.00","","1,693,863.54","","1,693,863.54","","0.00",""
"060130","4.1","","   ENTRADAS E CUSTOS","","","","0.00","","1,693,863.54","","1,693,863.54","","0.00",""
"040001","4.1.02","","      ENTRADAS COMERCIAIS","","","","0.00","","37,482.93","","37,482.93","","0.00",""
"060151","4.1.02.01","","         COMPRAS P/ COMERCIALIZAÇÃO","","","","0.00","","37,482.93","","37,482.93","","0.00",""
"060270","4.1.02.01.0002","","            (-) ICMS S/ COMPRAS","","","","0.00","","37,482.93","","37,482.93","","0.00",""
"060207","4.1.04","","      CUSTOS DOS SERVIÇOS PRESTADOS","","","","0.00","","1,656,380.61","","1,656,380.61","","0.00",""
"060312","4.1.04.01","","         MATERIAIS CONSUMIDOS","","","","0.00","","1,656,380.61","","1,656,380.61","","0.00",""
"040150","4.1.04.01.0001","","            COMBUSTIVEL UTILIZADO","","","","0.00","","1,332,946.57","","1,332,946.57","","0.00",""
"020723","4.1.04.01.0004","","            (-) ICMS S/MATERIAL CONSUMIDO","","","","0.00","","312,286.74","","312,286.74","","0.00",""
"060319","4.1.04.01.0004","","            MATERIAL UTILIZADO NA PRESTACAO DE SERVICO","","","","0.00","","11,147.30","","11,147.30","","0.00",""
"000005","5","","DESPESAS","","","","0.00","","4,113,373.29","","4,113,373.29","","0.00",""
"050001","5.1","","   DESPESAS OPERACIONAIS","","","","0.00","","4,113,373.29","","4,113,373.29","","0.00",""
"050002","5.1.01","","      DESPESAS OPERACIONAIS","","","","0.00","","4,113,373.29","","4,113,373.29","","0.00",""
"050003","5.1.01.01","","         DESPESAS C/ PESSOAL","","","","0.00","","50,239.04","","50,239.04","","0.00",""
"050004","5.1.01.01.0001","","            13°  SALARIO","","","","0.00","","372.81","","372.81","","0.00",""
"050014","5.1.01.01.0007","","            CURSOS E TREINAMENTOS","","","","0.00","","900.00","","900.00","","0.00",""
